SESSO,DATA IMMIGRAZIONE,COMUNE DI PROVENIENZA,PROVINCIA DI PROVENIENZA,STATO DI PROVENIENZA
F,06-05-2002,SAN DONÀ DI PIAVE,VE,ITALIA
F,06-05-2002,SAN DONÀ DI PIAVE,VE,ITALIA
F,15-05-2002,CAORLE,VE,ITALIA
M,15-05-2002,CAORLE,VE,ITALIA
M,15-05-2002,AZZANO DECIMO,PN,ITALIA
M,18-05-2002,MUSILE DI PIAVE,VE,ITALIA
F,18-05-2002,MUSILE DI PIAVE,VE,ITALIA
M,18-05-2002,MUSILE DI PIAVE,VE,ITALIA
F,21-05-2002,CODROIPO,UD,ITALIA
F,21-05-2002,CIMADOLMO,TV,ITALIA
M,23-05-2002,CAVALESE,TN,ITALIA
F,24-05-2002,IMOLA,BO,ITALIA
F,25-05-2002,CAVALLINO-TREPORTI,VE,ITALIA
F,03-06-2002,,,ROMANIA
F,03-06-2002,,,ROMANIA
F,03-06-2002,BASILIANO,UD,ITALIA
M,08-06-2002,VENEZIA,VE,ITALIA
M,12-06-2002,CONCORDIA SAGITTARIA,VE,ITALIA
M,12-06-2002,CONCORDIA SAGITTARIA,VE,ITALIA
M,13-06-2002,,,ESTERO
F,24-06-2002,PORTOGRUARO,VE,ITALIA
M,25-06-2002,VENEZIA,VE,ITALIA
F,25-06-2002,VENEZIA,VE,ITALIA
M,25-06-2002,VENEZIA,VE,ITALIA
F,25-06-2002,VENEZIA,VE,ITALIA
M,27-06-2002,,,MOLDOVA
F,01-07-2002,CAORLE,VE,ITALIA
M,01-07-2002,CAORLE,VE,ITALIA
M,01-07-2002,CAORLE,VE,ITALIA
M,11-07-2002,ERACLEA,VE,ITALIA
F,12-07-2002,CAIAZZO,CE,ITALIA
F,12-07-2002,,,ALBANIA
F,12-07-2002,,,ALBANIA
F,22-07-2002,ARBA,PN,ITALIA
M,22-07-2002,ARBA,PN,ITALIA
F,03-08-2002,CAORLE,VE,ITALIA
M,10-08-2002,,,ALBANIA
F,10-08-2002,SAN FIOR,TV,ITALIA
M,10-08-2002,SAN FIOR,TV,ITALIA
F,10-08-2002,SAN FIOR,TV,ITALIA
F,10-08-2002,SAN FIOR,TV,ITALIA
F,12-08-2002,PRAMAGGIORE,VE,ITALIA
M,12-08-2002,PRAMAGGIORE,VE,ITALIA
F,19-08-2002,CASELLE TORINESE,TO,ITALIA
M,19-08-2002,CASELLE TORINESE,TO,ITALIA
M,29-08-2002,MEDUNO,PN,ITALIA
F,29-08-2002,MEDUNO,PN,ITALIA
F,29-08-2002,MEDUNO,PN,ITALIA
F,29-08-2002,MEDUNO,PN,ITALIA
F,05-09-2002,MONTEPARANO,TA,ITALIA
M,07-09-2002,,,ALBANIA
F,14-09-2002,MORSANO AL TAGLIAMENTO,PN,ITALIA
F,14-09-2002,MORSANO AL TAGLIAMENTO,PN,ITALIA
M,14-09-2002,,,CROAZIA
F,17-09-2002,,,ISRAELE
F,18-09-2002,CHIARANO,TV,ITALIA
M,23-09-2002,,,ISRAELE
F,23-09-2002,VENEZIA,VE,ITALIA
F,23-09-2002,TORRE DI MOSTO,VE,ITALIA
M,23-09-2002,TORRE DI MOSTO,VE,ITALIA
M,23-09-2002,TORRE DI MOSTO,VE,ITALIA
M,28-09-2002,SAN DONÀ DI PIAVE,VE,ITALIA
F,28-09-2002,ANNONE VENETO,VE,ITALIA
F,30-09-2002,PORTOGRUARO,VE,ITALIA
M,30-09-2002,CEGGIA,VE,ITALIA
F,30-09-2002,MARENO DI PIAVE,TV,ITALIA
M,30-09-2002,MARENO DI PIAVE,TV,ITALIA
M,30-09-2002,MARENO DI PIAVE,TV,ITALIA
M,05-10-2002,LIGOSULLO,UD,ITALIA
F,05-10-2002,TORRE DI MOSTO,VE,ITALIA
F,05-10-2002,TORRE DI MOSTO,VE,ITALIA
M,05-10-2002,TORRE DI MOSTO,VE,ITALIA
F,14-10-2002,MOTTA DI LIVENZA,TV,ITALIA
M,15-10-2002,CAORLE,VE,ITALIA
M,16-10-2002,GORGO AL MONTICANO,TV,ITALIA
M,19-10-2002,MOTTA DI LIVENZA,TV,ITALIA
F,25-10-2002,CONCORDIA SAGITTARIA,VE,ITALIA
M,31-10-2002,ANNONE VENETO,VE,ITALIA
M,06-11-2002,TEGLIO VENETO,VE,ITALIA
M,09-11-2002,CEGGIA,VE,ITALIA
F,09-11-2002,,,ESTERO
F,11-11-2002,MOTTA DI LIVENZA,TV,ITALIA
F,11-11-2002,MOTTA DI LIVENZA,TV,ITALIA
M,14-11-2002,CONCORDIA SAGITTARIA,VE,ITALIA
F,14-11-2002,CONCORDIA SAGITTARIA,VE,ITALIA
F,16-11-2002,PORTOGRUARO,VE,ITALIA
F,19-11-2002,CINTO CAOMAGGIORE,VE,ITALIA
M,19-11-2002,CINTO CAOMAGGIORE,VE,ITALIA
M,19-11-2002,CINTO CAOMAGGIORE,VE,ITALIA
M,22-11-2002,NEVIANO,LE,ITALIA
F,28-11-2002,,,ROMANIA
M,28-11-2002,,,ROMANIA
M,05-12-2002,VENEZIA,VE,ITALIA
F,05-12-2002,,,ESTERO
F,14-12-2002,SALGAREDA,TV,ITALIA
M,17-12-2002,EMPOLI,FI,ITALIA
M,23-12-2002,CAORLE,VE,ITALIA
F,23-12-2002,CAORLE,VE,ITALIA
F,23-12-2002,CAORLE,VE,ITALIA
F,23-12-2002,CAORLE,VE,ITALIA
M,24-12-2002,,,-
F,27-12-2002,AZZANO DECIMO,PN,ITALIA
M,31-12-2002,TORRE DI MOSTO,VE,ITALIA
M,31-12-2002,TORRE DI MOSTO,VE,ITALIA
F,31-12-2002,TORRE DI MOSTO,VE,ITALIA
M,03-01-2003,CESSALTO,TV,ITALIA
F,08-01-2003,,,ROMANIA
F,08-01-2003,,,ROMANIA
F,17-01-2003,,,MAROCCO
M,22-01-2003,JESOLO,VE,ITALIA
F,28-01-2003,CAORLE,VE,ITALIA
M,28-01-2003,CAORLE,VE,ITALIA
F,28-01-2003,,,CROAZIA
M,31-01-2003,PORTOGRUARO,VE,ITALIA
F,03-02-2003,VENEZIA,VE,ITALIA
F,14-02-2003,CAORLE,VE,ITALIA
M,14-02-2003,CAORLE,VE,ITALIA
M,14-02-2003,CAORLE,VE,ITALIA
M,15-02-2003,CESSALTO,TV,ITALIA
F,15-02-2003,CESSALTO,TV,ITALIA
F,21-02-2003,MOTTA DI LIVENZA,TV,ITALIA
M,24-02-2003,NOVENTA DI PIAVE,VE,ITALIA
F,26-02-2003,,,CROAZIA
M,26-02-2003,,,CROAZIA
M,28-02-2003,JESOLO,VE,ITALIA
M,28-02-2003,JESOLO,VE,ITALIA
M,28-02-2003,JESOLO,VE,ITALIA
F,28-02-2003,JESOLO,VE,ITALIA
M,01-03-2003,PRAMAGGIORE,VE,ITALIA
M,01-03-2003,CAORLE,VE,ITALIA
F,01-03-2003,CAORLE,VE,ITALIA
M,01-03-2003,CAORLE,VE,ITALIA
M,12-03-2003,ODERZO,TV,ITALIA
F,15-03-2003,SANTA LUCIA DI PIAVE,TV,ITALIA
M,21-03-2003,CAORLE,VE,ITALIA
F,21-03-2003,CAORLE,VE,ITALIA
M,21-03-2003,CAORLE,VE,ITALIA
F,21-03-2003,CAORLE,VE,ITALIA
M,24-03-2003,CAORLE,VE,ITALIA
F,24-03-2003,CAORLE,VE,ITALIA
M,26-03-2003,CAORLE,VE,ITALIA
M,26-03-2003,CAORLE,VE,ITALIA
F,26-03-2003,CAORLE,VE,ITALIA
F,28-03-2003,,,ESTERO
M,29-03-2003,CAORLE,VE,ITALIA
F,29-03-2003,CAORLE,VE,ITALIA
F,04-04-2003,CAORLE,VE,ITALIA
F,04-04-2003,CONCORDIA SAGITTARIA,VE,ITALIA
F,04-04-2003,,,ROMANIA
M,05-04-2003,SESTO SAN GIOVANNI,MI,ITALIA
F,11-04-2003,VENEZIA,VE,ITALIA
M,11-04-2003,PORTOGRUARO,VE,ITALIA
F,14-04-2003,CAORLE,VE,ITALIA
F,22-04-2003,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
F,22-04-2003,PONTE DI PIAVE,TV,ITALIA
F,23-04-2003,ANNONE VENETO,VE,ITALIA
F,24-04-2003,,,SERBIA
F,30-04-2003,PONTEDERA,PI,ITALIA
M,09-05-2003,CERVIGNANO DEL FRIULI,UD,ITALIA
M,10-05-2003,MONASTIER DI TREVISO,TV,ITALIA
F,13-05-2003,CAORLE,VE,ITALIA
M,13-05-2003,CAORLE,VE,ITALIA
M,13-05-2003,CAORLE,VE,ITALIA
F,13-05-2003,CAORLE,VE,ITALIA
F,13-05-2003,CAORLE,VE,ITALIA
F,20-05-2003,,,ESTERO
F,21-05-2003,,,ROMANIA
F,23-05-2003,MONASTIER DI TREVISO,TV,ITALIA
F,23-05-2003,MONASTIER DI TREVISO,TV,ITALIA
F,23-05-2003,MONASTIER DI TREVISO,TV,ITALIA
M,23-05-2003,MONASTIER DI TREVISO,TV,ITALIA
F,26-05-2003,CESSALTO,TV,ITALIA
F,27-05-2003,,,ESTERO
M,28-05-2003,CONCORDIA SAGITTARIA,VE,ITALIA
M,03-06-2003,ROMA,RM,ITALIA
M,05-06-2003,CHIARANO,TV,ITALIA
F,07-06-2003,SAN POLO DI PIAVE,TV,ITALIA
F,09-06-2003,,,ALBANIA
M,10-06-2003,,,MACEDONIA DEL NORD
M,11-06-2003,,,MACEDONIA DEL NORD
F,14-06-2003,CAORLE,VE,ITALIA
M,14-06-2003,CAORLE,VE,ITALIA
M,14-06-2003,CAORLE,VE,ITALIA
M,14-06-2003,CAORLE,VE,ITALIA
M,30-06-2003,PASIANO DI PORDENONE,PN,ITALIA
F,30-06-2003,SEREGNO,MI,ITALIA
M,30-06-2003,,,ALBANIA
M,30-06-2003,SEREGNO,MI,ITALIA
M,30-06-2003,SEREGNO,MI,ITALIA
