DATA ISCRIZIONE,DESCRIZIONE COMUNE PROVENIENZA,SIGLA PROVINCIA PROVENIENZA,STATO ESTERO DI PROVENIENZA
09/07/83,CASARSA DELLA DELIZIA,PN,
21/09/83,SAN SALVADOR,,EL SALVADOR
12/11/90,FRANCIA,,FRANCIA
14/02/12,LATISANA,UD,
23/07/84,PORDENONE,PN,
23/07/84,PORDENONE,PN,
04/09/84,LATISANA,UD,
04/09/84,LATISANA,UD,
18/01/91,UDINE,UD,
18/01/91,UDINE,UD,
18/01/91,UDINE,UD,
18/01/91,UDINE,UD,
12/10/83,RONCHIS,UD,
27/07/84,ORMELLE,TV,
28/05/84,MALCESINE,VR,
05/09/84,PIOVE DI SACCO,PD,
24/09/84,SAN VITO AL TAGLIAMENTO,PN,
25/07/03,PRAMAGGIORE,VE,
06/10/84,SESTO AL REGHENA,PN,
25/06/84,MILANO,MI,
01/10/84,PORTOGRUARO,VE,
01/10/84,PORTOGRUARO,VE,
01/10/84,PORTOGRUARO,VE,
12/12/83,OLANDA,,PAESI BASSI
25/11/05,LATISANA,UD,
25/05/07,GERMANIA,,GERMANIA
01/04/97,GERMANIA,,GERMANIA
20/12/06,LIGNANO SABBIADORO,UD,
16/10/84,CAORLE,VE,
16/10/84,CAORLE,VE,
12/07/84,VENEZIA,VE,
12/07/84,VENEZIA,VE,
19/07/84,SAN DONÀ DI PIAVE,VE,
19/07/84,SAN DONÀ DI PIAVE,VE,
19/07/84,SAN DONÀ DI PIAVE,VE,
04/12/20,LATISANA,UD,
18/08/15,AUSTRALIA,,AUSTRALIA
02/04/98,SVIZZERA,,SVIZZERA
26/11/01,SCHWERZENBACH,,SVIZZERA
18/12/91,ZURIGO,,SVIZZERA
03/07/03,VILLARS SUR OLON,,SVIZZERA
12/11/84,LATISANA,UD,
13/11/84,LATISANA,UD,
29/10/84,LIGNANO SABBIADORO,UD,
30/10/84,LATISANA,UD,
20/10/84,LATISANA,UD,
29/09/88,LATISANA,UD,
03/10/58,SAN MICHELE AL TAGLIAMENTO,VE,
10/10/60,SAN MICHELE AL TAGLIAMENTO,VE,
21/08/02,CONEGLIANO,TV,
14/12/83,LATISANA,UD,
30/08/83,SAN STINO DI LIVENZA,VE,
13/12/83,MUZZANA DEL TURGNANO,UD,
12/12/83,LATISANA,UD,
21/09/83,LATISANA,UD,
28/11/83,LATISANA,UD,
28/11/83,LATISANA,UD,
06/12/83,LATISANA,UD,
06/12/83,LATISANA,UD,
18/06/83,TAVAGNACCO,UD,
18/06/83,TAVAGNACCO,UD,
18/06/83,TAVAGNACCO,UD,
24/06/83,FOLLINA,TV,
24/06/83,FOLLINA,TV,
24/06/83,FOLLINA,TV,
21/09/91,LATISANA,UD,
19/10/83,CORMANO,MI,
07/05/83,CAORLE,VE,
06/07/84,PORTOGRUARO,VE,
31/10/84,FOSSALTA DI PORTOGRUARO,VE,
31/10/84,FOSSALTA DI PORTOGRUARO,VE,
31/10/84,FOSSALTA DI PORTOGRUARO,VE,
14/11/06,PARMA,PR,
19/06/84,DESIO,MI,
19/06/84,DESIO,MI,
20/10/84,RIVOLI,TO,
20/10/84,RIVOLI,TO,
29/10/84,RONCHIS,UD,
15/11/84,FORNI AVOLTRI,UD,
24/12/84,LATISANA,UD,
20/12/84,LATISANA,UD,
14/12/84,VENEZIA,VE,
14/10/16,UDINE,UD,
06/12/84,LATISANA,UD,
10/10/84,VALDOBBIADENE,TV,
30/10/84,GERMANIA,,GERMANIA
08/11/84,TRIESTE,TS,
02/09/83,FRANCIA,,FRANCIA
02/09/83,FRANCIA,,FRANCIA
17/01/84,LATISANA,UD,
20/06/17,LATISANA,UD,
21/01/19,MESSICO,,MESSICO
06/01/84,LATISANA,UD,
22/06/18,FARRA D'ISONZO,GO,
03/01/07,CASARSA DELLA DELIZIA,PN,
16/01/84,LATISANA,UD,
15/03/82,PORDENONE,PN,
22/05/15,LATISANA,UD,
30/04/14,SESTO AL REGHENA,PN,
22/01/03,MANIAGO,PN,
09/01/85,PORTOGRUARO,VE,
19/12/84,LATISANA,UD,
05/07/83,CONCORDIA SAGITTARIA,VE,
06/02/85,PORTOGRUARO,VE,
01/03/85,SAN VITO AL TAGLIAMENTO,PN,
14/02/85,LATISANA,UD,
21/06/10,LATISANA,UD,
23/02/85,LATISANA,UD,
05/12/84,ANGUILLARA VENETA,PD,
08/01/85,RONCHI DEI LEGIONARI,GO,
10/12/84,PORTOGRUARO,VE,
10/12/84,PORTOGRUARO,VE,
02/01/85,LATISANA,UD,
02/01/85,LATISANA,UD,
26/02/85,LATISANA,UD,
12/02/85,LATISANA,UD,
13/03/85,TRIESTE,TS,
13/03/85,TRIESTE,TS,
11/09/95,PAGNACCO,UD,
02/02/85,RONCHI DEI LEGIONARI,GO,
29/10/13,PADOVA,PD,
09/04/85,LATISANA,UD,
06/11/07,LATISANA,UD,
13/03/85,MORSANO AL TAGLIAMENTO,PN,
03/06/85,LATISANA,UD,
25/03/85,PALAZZOLO DELLO STELLA,UD,
15/04/85,LATISANA,UD,
30/03/41,SAN MICHELE AL TAGLIAMENTO,VE,
07/08/63,SAN MICHELE AL TAGLIAMENTO,VE,
27/02/72,SAN MICHELE AL TAGLIAMENTO,VE,
01/12/68,GODEGA DI SANT'URBANO,TV,
24/02/14,LATISANA,UD,
01/02/18,LATISANA,UD,
21/05/85,CONCORDIA SAGITTARIA,VE,
12/03/85,SAN VITO DI FAGAGNA,UD,
08/05/85,CASTIONS DI STRADA,UD,
08/05/85,CASTIONS DI STRADA,UD,
08/05/85,CASTIONS DI STRADA,UD,
26/06/85,PORTOGRUARO,VE,
27/02/85,SAN STINO DI LIVENZA,VE,
29/04/85,CAORLE,VE,
13/03/85,PORTOGRUARO,VE,
28/06/69,LATISANA,UD,
18/05/85,RIVIGNANO,UD,
06/05/85,CONCORDIA SAGITTARIA,VE,
29/05/85,TEOR,UD,
16/05/85,VICENZA,VI,
07/05/85,TUNISIA,,TUNISIA
07/05/85,TUNISIA,,TUNISIA
07/05/85,TUNISIA,,TUNISIA
22/02/85,PRECENICCO,UD,
07/07/85,LATISANA,UD,
31/01/19,SAN VITO AL TAGLIAMENTO,PN,
16/05/85,SAN VITO AL TAGLIAMENTO,PN,
23/06/85,LATISANA,UD,
30/03/85,LATISANA,UD,
23/03/85,PORTOGRUARO,VE,
12/03/85,LATISANA,UD,
03/06/85,LATISANA,UD,
13/05/85,LATISANA,UD,
27/03/85,LATISANA,UD,
22/04/85,LATISANA,UD,
27/11/19,SANTA GIUSTINA IN COLLE,PD,
02/07/85,LATISANA,UD,
19/06/85,LATISANA,UD,
09/05/85,LATISANA,UD,
18/01/85,LATISANA,UD,
09/01/63,SVIZZERA,,SVIZZERA
12/06/85,MORSANO AL TAGLIAMENTO,PN,
12/06/85,MORSANO AL TAGLIAMENTO,PN,
16/09/85,LATISANA,UD,
23/08/85,LATISANA,UD,
12/10/85,LATISANA,UD,
22/10/85,LATISANA,UD,
17/11/85,LATISANA,UD,
28/10/85,LATISANA,UD,
31/08/85,SAN VITO AL TAGLIAMENTO,PN,
27/06/85,LATISANA,UD,
27/07/85,LATISANA,UD,
07/10/85,VILLA VICENTINA,UD,
17/06/85,TORRE DI MOSTO,VE,
17/06/85,TORRE DI MOSTO,VE,
17/06/85,TORRE DI MOSTO,VE,
29/06/85,VARMO,UD,
29/08/85,VARMO,UD,
29/06/85,VARMO,UD,
29/07/85,ROMA,RM,
26/08/85,PLAUS,BZ,
12/01/10,CODROIPO,UD,
12/01/10,CODROIPO,UD,
27/06/85,MORSANO AL TAGLIAMENTO,PN,
27/06/85,MORSANO AL TAGLIAMENTO,PN,
27/06/85,MORSANO AL TAGLIAMENTO,PN,
10/09/85,LATISANA,UD,
10/09/85,LATISANA,UD,
10/09/85,LATISANA,UD,
08/07/85,LATISANA,UD,
08/07/85,LATISANA,UD,
20/06/85,MILANO,MI,
20/06/85,MILANO,MI,
07/08/85,PORTOGRUARO,VE,
07/08/85,PORTOGRUARO,VE,
04/11/97,GERMANIA,,GERMANIA
17/12/20,RIVIGNANO TEOR,UD,
29/07/85,TEOR,UD,
26/07/85,NICHELINO,TO,
05/10/85,LATISANA,UD,
05/10/85,LATISANA,UD,
10/10/85,LATISANA,UD,
11/04/92,PUTIGNANO,BA,
08/10/85,JESOLO,VE,
20/02/97,LIGNANO SABBIADORO,UD,
08/12/85,SAN VITO AL TAGLIAMENTO,PN,
22/11/85,LATISANA,UD,
08/12/85,LATISANA,UD,
20/01/04,LATISANA,UD,
30/11/85,LATISANA,UD,
08/11/85,LATISANA,UD,
08/11/85,LATISANA,UD,
09/11/85,RONCHIS,UD,
16/09/85,MONFALCONE,GO,
21/10/19,MARGHERITA DI SAVOIA,BT,
02/07/20,TRIESTE,TS,
14/12/85,LATISANA,UD,
14/12/85,LATISANA,UD,
14/12/85,LATISANA,UD,
21/12/85,LATISANA,UD,
07/08/85,LATISANA,UD,
11/12/17,LIGNANO SABBIADORO,UD,
20/11/06,LATISANA,UD,
26/12/85,SAN VITO AL TAGLIAMENTO,PN,
30/11/85,PORTOGRUARO,VE,
30/11/85,PORTOGRUARO,VE,
10/12/85,ERACLEA,VE,
23/01/86,TREVISO,TV,
21/01/86,RICCIONE,RN,
09/12/85,ODERZO,TV,
07/01/86,CONCORDIA SAGITTARIA,VE,
14/01/86,PORTOGRUARO,VE,
22/01/86,LATISANA,UD,
03/02/86,LATISANA,UD,
10/02/86,LATISANA,UD,
17/02/86,PORTOGRUARO,VE,
17/02/86,PORTOGRUARO,VE,
17/02/86,PORTOGRUARO,VE,
07/02/86,SAN VITO AL TAGLIAMENTO,PN,
20/02/86,LATISANA,UD,
23/02/86,LATISANA,UD,
16/02/86,LATISANA,UD,
24/02/86,SAN VITO AL TAGLIAMENTO,PN,
12/03/86,SAN VITO AL TAGLIAMENTO,PN,
26/03/86,LATISANA,UD,
06/04/86,UDINE,UD,
24/03/86,LATISANA,UD,
10/03/86,LATISANA,UD,
14/04/86,LATISANA,UD,
10/04/86,AZZANO DECIMO,PN,
10/04/86,AZZANO DECIMO,PN,
02/05/86,TRAMONTI DI SOTTO,PN,
17/04/18,CAMPOFORMIDO,UD,
28/04/86,LATISANA,UD,
05/05/86,LATISANA,UD,
01/05/86,LATISANA,UD,
19/05/86,RIVIGNANO,UD,
17/08/83,SAN VITO AL TAGLIAMENTO,PN,
26/04/07,LATISANA,UD,
17/02/05,PORTOGRUARO,VE,
11/12/89,TREVISO,TV,
30/04/86,PORTOGRUARO,VE,
17/06/86,PORTOGRUARO,VE,
20/05/86,LATISANA,UD,
26/04/86,LATISANA,UD,
17/01/20,PORTOGRUARO,VE,
24/05/86,TORINO,TO,
04/07/86,SAN VITO AL TAGLIAMENTO,PN,
26/06/86,LATISANA,UD,
04/07/86,LATISANA,UD,
25/06/86,PORTOGRUARO,VE,
29/08/00,CODROIPO,UD,
03/08/86,LATISANA,UD,
14/08/86,LATISANA,UD,
19/06/86,CONCORDIA SAGITTARIA,VE,
19/06/86,CONCORDIA SAGITTARIA,VE,
19/06/86,CONCORDIA SAGITTARIA,VE,
26/04/86,MILANO,MI,
30/08/86,SALZANO,VE,
30/08/86,SALZANO,VE,
02/09/86,CAMPONOGARA,VE,
30/10/93,CAMPONOGARA,VE,
01/09/86,VENEZIA,VE,
01/09/86,VENEZIA,VE,
01/09/86,VENEZIA,VE,
10/09/86,LATISANA,UD,
18/10/86,RONCHIS,UD,
13/09/86,PORTOGRUARO,VE,
03/10/86,LATISANA,UD,
20/10/86,LATISANA,UD,
23/09/86,LATISANA,UD,
29/09/86,LATISANA,UD,
06/10/86,LATISANA,UD,
21/10/86,LATISANA,UD,
21/10/86,LATISANA,UD,
09/09/86,TREVISO,TV,
31/10/86,LATISANA,UD,
11/07/86,ROMA,RM,
06/10/86,FOSSALTA DI PORTOGRUARO,VE,
06/10/86,SESTO SAN GIOVANNI,MI,
28/10/86,LATISANA,UD,
21/11/86,PORTOGRUARO,VE,
22/10/86,TORINO,TO,
22/10/86,TORINO,TO,
07/11/86,TARCENTO,UD,
21/10/86,BRISIGHELLA,RA,
30/10/86,PORTOGRUARO,VE,
30/10/86,PORTOGRUARO,VE,
30/10/86,PORTOGRUARO,VE,
30/10/86,PORTOGRUARO,VE,
18/11/86,PORTOGRUARO,VE,
18/11/86,LATISANA,UD,
04/12/86,LATISANA,UD,
13/12/86,LATISANA,UD,
07/12/86,LATISANA,UD,
09/12/86,LATISANA,UD,
02/12/86,LATISANA,UD,
09/12/86,PORTOGRUARO,VE,
09/12/86,PORTOGRUARO,VE,
09/12/86,PORTOGRUARO,VE,
20/12/86,SESTO AL REGHENA,PN,
22/12/86,FOSSALTA DI PORTOGRUARO,VE,
22/12/86,FOSSALTA DI PORTOGRUARO,VE,
22/12/86,FOSSALTA DI PORTOGRUARO,VE,
03/10/86,CONSELVE,PD,
03/10/86,CONSELVE,PD,
14/11/86,CODROIPO,UD,
14/11/86,CODROIPO,UD,
14/11/86,CODROIPO,UD,
16/10/19,LATISANA,UD,
23/12/86,FOSSALTA DI PORTOGRUARO,VE,
26/04/89,SARNO,SA,
13/02/87,LATISANA,UD,
17/02/87,MONFALCONE,GO,
01/12/86,RIVIGNANO,UD,
03/03/87,LATISANA,UD,
23/02/87,VITO D'ASIO,PN,
23/02/87,VITO D'ASIO,PN,
02/09/99,FOSSALTA DI PORTOGRUARO,VE,
13/03/87,LATISANA,UD,
06/09/10,PORTOGRUARO,VE,
30/03/87,LATISANA,UD,
03/05/87,PORTOGRUARO,VE,
26/04/87,LATISANA,UD,
31/03/87,MUZZANA DEL TURGNANO,UD,
28/04/87,PORTOGRUARO,VE,
26/03/87,LATISANA,UD,
13/10/12,LATISANA,UD,
29/04/87,LATISANA,UD,
03/05/87,LATISANA,UD,
09/02/87,TRANA,TO,
09/02/87,TRANA,TO,
04/05/87,RONCHI DEI LEGIONARI,GO,
22/05/87,PORTOGRUARO,VE,
24/05/87,LATISANA,UD,
08/05/87,LATISANA,UD,
18/05/87,LATISANA,UD,
17/05/87,SAN VITO AL TAGLIAMENTO,PN,
17/11/94,CONEGLIANO,TV,
09/05/87,SAN GIORGIO DELLE PERTICHE,PD,
05/05/87,SAN VITO AL TAGLIAMENTO,PN,
16/06/87,LATISANA,UD,
12/06/87,LATISANA,UD,
09/05/87,UDINE,UD,
07/05/87,SAREZZO,BS,
24/03/15,LATISANA,UD,
30/06/87,LATISANA,UD,
26/06/87,LATISANA,UD,
21/07/87,LATISANA,UD,
11/07/87,LATISANA,UD,
20/07/87,LATISANA,UD,
15/07/87,LATISANA,UD,
12/08/87,LATISANA,UD,
03/08/87,LATISANA,UD,
03/08/87,LATISANA,UD,
08/08/87,CAORLE,VE,
27/07/87,LATISANA,UD,
27/07/87,LATISANA,UD,
25/08/87,SAN VITO AL TAGLIAMENTO,PN,
18/09/87,FONTANAFREDDA,PN,
09/09/87,PORTOGRUARO,VE,
09/09/87,PORTOGRUARO,VE,
15/09/87,LATISANA,UD,
20/09/87,LATISANA,UD,
18/05/12,FOSSALTA DI PORTOGRUARO,VE,
29/09/87,LATISANA,UD,
06/10/87,LATISANA,UD,
06/10/87,CASTIGLIONE DI SICILIA,CT,
19/04/16,LIGNANO SABBIADORO,UD,
08/09/87,VILLADOSE,RO,
17/09/87,CERIGNOLA,FG,
21/09/87,RUSSIA,,FEDERAZIONE RUSSA
06/09/87,LATISANA,UD,
26/09/87,LATISANA,UD,
29/09/87,LATISANA,UD,
02/11/87,LATISANA,UD,
30/09/87,LIGNANO SABBIADORO,UD,
10/10/87,CONEGLIANO,TV,
19/10/87,LIGNANO SABBIADORO,UD,
10/10/87,BAONE,PD,
12/10/87,SAN MICHELE AL TAGLIAMENTO,VE,
13/11/87,VENEZIA,VE,
17/11/87,PORTOGRUARO,VE,
13/11/87,VENEZIA,VE,
16/11/87,PRESICCE,LE,
16/11/87,PRESICCE,LE,
12/11/87,PORTOGRUARO,VE,
12/11/87,PORTOGRUARO,VE,
01/01/93,NOALE,VE,
09/12/87,LATISANA,UD,
15/12/87,LATISANA,UD,
14/06/18,LATISANA,UD,
19/12/87,LIGNANO SABBIADORO,UD,
22/09/01,LIGNANO SABBIADORO,UD,
22/12/87,LIGNANO SABBIADORO,UD,
22/12/87,LIGNANO SABBIADORO,UD,
03/11/87,MONFALCONE,GO,
18/11/87,PORTOGRUARO,VE,
16/11/87,FOLLINA,TV,
28/11/87,PALAZZOLO DELLO STELLA,UD,
30/09/87,NAPOLI,NA,
30/09/87,NAPOLI,NA,
22/02/12,PORTOGRUARO,VE,
18/07/07,CASARSA DELLA DELIZIA,PN,
27/01/88,LATISANA,UD,
14/06/17,MORSANO AL TAGLIAMENTO,PN,
09/01/93,LATISANA,UD,
27/02/08,MASSA,MS,
08/03/88,LATISANA,UD,
17/02/88,LATISANA,UD,
14/02/88,LATISANA,UD,
06/02/88,LATISANA,UD,
27/01/88,LATISANA,UD,
23/11/87,CHIVASSO,TO,
18/01/88,PORTOGRUARO,VE,
18/01/88,PORTOGRUARO,VE,
25/02/11,SAN VITO AL TAGLIAMENTO,PN,
25/02/11,SAN VITO AL TAGLIAMENTO,PN,
08/02/01,SAN VITO AL TAGLIAMENTO,PN,
26/03/88,LATISANA,UD,
20/01/20,TRIESTE,TS,
11/03/88,PORTOGRUARO,VE,
23/02/88,CORVARA IN BADIA,BZ,
15/03/88,FOSSALTA DI PORTOGRUARO,VE,
15/03/88,FOSSALTA DI PORTOGRUARO,VE,
15/03/88,FOSSALTA DI PORTOGRUARO,VE,
15/03/88,FOSSALTA DI PORTOGRUARO,VE,
16/03/88,LATISANA,UD,
16/03/88,LATISANA,UD,
03/04/88,LATISANA,UD,
12/04/89,CORDENONS,PN,
28/04/88,RONCHI DEI LEGIONARI,GO,
26/03/88,CLAUT,PN,
09/05/88,SAN VITO AL TAGLIAMENTO,PN,
05/03/88,PORTOGRUARO,VE,
29/03/88,STRA,VE,
18/04/88,LATISANA,UD,
19/04/88,LATISANA,UD,
21/05/88,FOSSALTA DI PORTOGRUARO,VE,
27/04/88,TARVISIO,UD,
02/06/88,LATISANA,UD,
25/05/88,LATISANA,UD,
18/06/88,LATISANA,UD,
02/06/88,LATISANA,UD,
30/04/88,CINTO CAOMAGGIORE,VE,
21/05/88,PORCIA,PN,
19/04/07,CASARSA DELLA DELIZIA,PN,
16/06/88,MUSILE DI PIAVE,VE,
16/06/88,MUSILE DI PIAVE,VE,
31/01/05,LATISANA,UD,
24/06/88,LATISANA,UD,
11/06/88,PORTOGRUARO,VE,
11/04/88,CAORLE,VE,
16/05/88,GERMANIA,,GERMANIA
26/06/88,CERNUSCO SUL NAVIGLIO,MI,
26/06/88,CERNUSCO SUL NAVIGLIO,MI,
26/06/88,CERNUSCO SUL NAVIGLIO,MI,
24/07/98,TAVAGNACCO,UD,
13/07/88,LATISANA,UD,
13/08/88,LATISANA,UD,
04/08/88,LATISANA,UD,
22/08/88,TRIESTE,TS,
22/08/88,TRIESTE,TS,
07/09/88,SAN VITO AL TAGLIAMENTO,PN,
03/08/88,CONEGLIANO,TV,
10/09/88,LATISANA,UD,
31/08/88,LATISANA,UD,
09/09/88,CHIOGGIA,VE,
30/09/88,CONCORDIA SAGITTARIA,VE,
29/07/88,BELGIO,,BELGIO
20/09/88,PORTOGRUARO,VE,
17/09/88,LATISANA,UD,
23/09/88,LATISANA,UD,
31/05/88,CANNARA,PG,
10/10/88,PORTOGRUARO,VE,
24/10/88,LATISANA,UD,
14/09/17,PADOVA,PD,
10/11/88,LATISANA,UD,
11/10/88,LATISANA,UD,
03/12/88,LATISANA,UD,
22/11/88,SAN VITO AL TAGLIAMENTO,PN,
13/10/88,MILANO,MI,
18/10/88,UDINE,UD,
05/12/88,LATISANA,UD,
02/12/88,CAORLE,VE,
30/12/88,LATISANA,UD,
20/12/88,CAMINO AL TAGLIAMENTO,UD,
24/12/88,LATISANA,UD,
19/01/89,LATISANA,UD,
11/01/88,SAN VITO AL TAGLIAMENTO,PN,
13/12/88,CAORLE,VE,
30/01/89,CONCORDIA SAGITTARIA,VE,
24/10/19,STRA,VE,
05/02/09,OSOPPO,UD,
30/01/89,LATISANA,UD,
30/01/89,LATISANA,UD,
07/02/89,LATISANA,UD,
15/11/19,PORTOGRUARO,VE,
05/12/88,ROMA,RM,
07/01/04,GERMANIA,,GERMANIA
30/08/12,,,
07/03/89,TRIESTE,TS,
15/02/89,TEOR,UD,
10/02/89,CONEGLIANO,TV,
22/03/89,SAN NAZARIO,VI,
22/03/89,SAN NAZARIO,VI,
05/04/89,LATISANA,UD,
02/04/89,LATISANA,UD,
30/04/89,SAN VITO AL TAGLIAMENTO,PN,
13/04/89,VENEZIA,VE,
08/01/03,BRENNERO,BZ,
08/04/89,LATISANA,UD,
26/03/15,LATISANA,UD,
08/05/89,TREVISO,TV,
09/05/89,FOSSALTA DI PORTOGRUARO,VE,
31/05/89,ORSAGO,TV,
26/06/89,LATISANA,UD,
08/06/89,SAN VITO AL TAGLIAMENTO,PN,
22/05/89,LATISANA,UD,
01/10/08,FONTANAFREDDA,PN,
11/06/89,LATISANA,UD,
28/02/89,PALOMONTE,SA,
06/03/89,NAPOLI,NA,
06/07/89,GERMANIA,,GERMANIA
06/07/89,GERMANIA,,GERMANIA
28/04/89,NAPOLI,NA,
28/04/89,NAPOLI,NA,
16/07/89,LATISANA,UD,
13/07/89,SAN VITO AL TAGLIAMENTO,PN,
17/07/89,LATISANA,UD,
02/08/89,LATISANA,UD,
08/07/89,SAN GIORGIO DI NOGARO,UD,
16/06/89,CASARSA DELLA DELIZIA,PN,
14/07/89,ZOPPOLA,PN,
29/05/89,SETTIMO TORINESE,TO,
22/08/89,LATISANA,UD,
01/09/89,LATISANA,UD,
16/08/89,SANTOMENNA,SA,
02/02/88,SAN VITO DI FAGAGNA,UD,
30/08/89,SAN VITO AL TAGLIAMENTO,PN,
03/09/89,LATISANA,UD,
07/09/89,LATISANA,UD,
19/09/89,PORTOGRUARO,VE,
18/09/89,LATISANA,UD,
04/09/00,CAVALESE,TN,
10/09/89,BRESCIA,BS,
22/09/89,LATISANA,UD,
27/09/89,LATISANA,UD,
30/09/89,LATISANA,UD,
16/09/89,CAORLE,VE,
16/09/89,CAORLE,VE,
16/09/89,CAORLE,VE,
29/04/89,FOSSALTA DI PORTOGRUARO,VE,
09/09/19,ZOPPOLA,PN,
29/10/89,LATISANA,UD,
25/10/89,LATISANA,UD,
16/10/89,RUSSIA,,FEDERAZIONE RUSSA
24/10/89,SVIZZERA,,SVIZZERA
17/10/89,MORSANO AL TAGLIAMENTO,PN,
29/09/89,LATISANA,UD,
29/09/89,LATISANA,UD,
23/08/89,OLANDA,,PAESI BASSI
17/11/89,LATISANA,UD,
17/11/89,LATISANA,UD,
01/12/89,LATISANA,UD,
22/11/89,LATISANA,UD,
15/12/89,LATISANA,UD,
08/12/89,LATISANA,UD,
04/12/89,LATISANA,UD,
28/11/89,LATISANA,UD,
04/11/89,SAN VITO AL TAGLIAMENTO,PN,
07/03/17,LATISANA,UD,
12/01/04,LATISANA,UD,
24/03/15,LATISANA,UD,
20/12/89,LATISANA,UD,
03/01/90,PORTOGRUARO,VE,
19/01/90,FOSSALTA DI PORTOGRUARO,VE,
06/12/89,PORTOGRUARO,VE,
20/01/90,LATISANA,UD,
11/01/90,MASERÀ DI PADOVA,PD,
14/06/17,MORSANO AL TAGLIAMENTO,PN,
13/02/90,PORTOGRUARO,VE,
19/03/13,GERMANIA,,GERMANIA
01/09/20,SAN GIORGIO DELLA RICHINVELDA,PN,
01/03/90,PORTOGRUARO,VE,
13/06/12,PORTOGRUARO,VE,
09/03/90,PALAZZOLO DELLO STELLA,UD,
27/08/18,FOSSALTA DI PORTOGRUARO,VE,
09/04/90,LATISANA,UD,
21/07/20,PORTOGRUARO,VE,
20/04/90,LATISANA,UD,
23/04/90,LATISANA,UD,
01/05/90,LATISANA,UD,
02/02/96,RONCHIS,UD,
11/04/90,CODROIPO,UD,
20/03/90,VIMODRONE,MI,
20/03/90,MILANO,MI,
21/04/90,LATISANA,UD,
21/04/90,LATISANA,UD,
17/05/90,LATISANA,UD,
11/05/90,LATISANA,UD,
19/05/90,RONCHIS,UD,
29/03/90,NAPOLI,NA,
28/05/90,PORTOGRUARO,VE,
05/05/90,SVIZZERA,,SVIZZERA
29/05/90,MORSANO AL TAGLIAMENTO,PN,
29/05/90,MORSANO AL TAGLIAMENTO,PN,
16/01/14,MIANE,TV,
31/05/90,CHIVASSO,TO,
12/05/90,CHIOGGIA,VE,
29/06/90,LATISANA,UD,
23/06/90,LATISANA,UD,
18/06/90,SAN VITO AL TAGLIAMENTO,PN,
11/06/90,LATISANA,UD,
06/06/90,SAN VITO AL TAGLIAMENTO,PN,
17/06/90,LATISANA,UD,
04/07/90,LATISANA,UD,
02/07/90,LATISANA,UD,
11/07/90,LATISANA,UD,
05/06/90,MOLA DI BARI,BA,
12/06/90,BEDONIA,PR,
13/07/90,PORTOGRUARO,VE,
11/07/90,VAREDO,MI,
21/08/90,LATISANA,UD,
22/08/90,SAN VITO AL TAGLIAMENTO,PN,
06/07/18,LATISANA,UD,
21/08/90,LATISANA,UD,
25/08/90,LATISANA,UD,
08/08/90,LATISANA,UD,
15/07/90,LATISANA,UD,
19/08/90,LATISANA,UD,
20/08/90,VENEZIA,VE,
28/08/90,LATISANA,UD,
04/09/90,LATISANA,UD,
13/09/90,LATISANA,UD,
03/09/90,ARGENTINA,,ARGENTINA
03/09/90,ARGENTINA,,ARGENTINA
26/09/90,PORTOGRUARO,VE,
16/07/90,MILANO,MI,
28/05/12,PORTOGRUARO,VE,
03/09/90,CHIVASSO,TO,
03/09/90,CHIVASSO,TO,
03/09/90,CHIVASSO,TO,
05/09/90,LATISANA,UD,
22/09/90,POCENIA,UD,
19/10/90,SAN VITO AL TAGLIAMENTO,PN,
15/09/90,MORSANO AL TAGLIAMENTO,PN,
19/04/05,OLANDA,,PAESI BASSI
07/07/90,VENEZIA,VE,
14/08/08,ISTRANA,TV,
02/10/90,LATISANA,UD,
03/10/90,REMANZACCO,UD,
19/10/90,LATISANA,UD,
10/11/90,LATISANA,UD,
17/11/90,LIGNANO SABBIADORO,UD,
23/10/90,MONTECCHIO MAGGIORE,VI,
23/10/90,MONTECCHIO MAGGIORE,VI,
26/08/10,FONTANAFREDDA,PN,
01/12/90,LATISANA,UD,
27/11/90,LATISANA,UD,
26/11/90,LATISANA,UD,
13/12/90,CASARSA DELLA DELIZIA,PN,
28/09/16,RONCHIS,UD,
27/11/90,LIGNANO SABBIADORO,UD,
27/11/90,LIGNANO SABBIADORO,UD,
27/12/90,LATISANA,UD,
18/12/90,SAN VITO AL TAGLIAMENTO,PN,
12/01/91,LATISANA,UD,
28/01/91,LATISANA,UD,
31/01/91,LATISANA,UD,
14/01/91,SAN VITO AL TAGLIAMENTO,PN,
28/01/91,LATISANA,UD,
07/02/91,TREVISO,TV,
21/06/04,ALGERIA,,ALGERIA
05/01/91,PORTOGRUARO,VE,
22/12/90,LATISANA,UD,
22/11/00,ISERLOHN,,GERMANIA
05/01/91,BRONI,PV,
18/01/91,LATISANA,UD,
21/02/91,LATISANA,UD,
19/02/91,LATISANA,UD,
28/01/91,LATISANA,UD,
08/02/91,LATISANA,UD,
11/02/91,LATISANA,UD,
11/02/91,LATISANA,UD,
14/02/91,LATISANA,UD,
05/03/91,LATISANA,UD,
04/03/91,LATISANA,UD,
11/03/91,LATISANA,UD,
11/03/91,LATISANA,UD,
13/02/91,CODROIPO,UD,
16/02/91,RAPALLO,GE,
16/02/91,RAPALLO,GE,
30/01/91,MILANO,MI,
16/03/91,TORVISCOSA,UD,
12/12/90,KAUFBEUREN,,GERMANIA
31/05/95,MONSANO,AN,
15/07/15,SACILE,PN,
