DATA ISCRIZIONE,DESCRIZIONE COMUNE PROVENIENZA,SIGLA PROVINCIA PROVENIENZA,STATO ESTERO DI PROVENIENZA
29/12/35,SAN MICHELE AL TAGLIAMENTO,VE,
19/11/77,AVIANO,PN,
15/10/78,LATISANA,UD,
28/04/77,TORREANO,UD,
12/06/52,SAN MICHELE AL TAGLIAMENTO,VE,
10/05/79,LATISANA,UD,
30/11/92,FERRARA,FE,
23/06/81,CINTO CAOMAGGIORE,VE,
23/06/81,CINTO CAOMAGGIORE,VE,
23/06/81,CINTO CAOMAGGIORE,VE,
23/06/81,CINTO CAOMAGGIORE,VE,
09/07/52,SAN MICHELE AL TAGLIAMENTO,VE,
05/04/81,LATISANA,UD,
11/11/74,FOSSALTA DI PORTOGRUARO,VE,
22/05/53,SAN MICHELE AL TAGLIAMENTO,VE,
09/03/20,RIVIGNANO TEOR,UD,
01/11/63,FOSSALTA DI PORTOGRUARO,VE,
01/11/63,FOSSALTA DI PORTOGRUARO,VE,
15/02/64,LATISANA,UD,
01/06/74,LATISANA,UD,
29/12/63,FOSSALTA DI PORTOGRUARO,VE,
